Language pair,"F1-score (LaBSE, average)","F1-score (LASER, average)","Gromov-Hausdorff dist. (LaBSE, average)","Gromov-Hausdorff dist. (LASER, average)","Singular value gap (LaBSE, average)","Singular value gap (LASER, average)","ECOND-HM (LaBSE, average)","ECOND-HM (LASER, average)","Average margin score (LaBSE, average)","Average margin score (LASER, average)"
Bulgarian-Portuguese,0.46365,0.29245,0.3919,0.2926,0.6069,9.1487,32.4174,29.9692,0.8967,0.6745
Bulgarian-Zarma,0.12375,0,0.6470,0.5474,690.7217,106.1801,41.8239,31.6231,0.5340,0.5357
Bulgarian-Korean,0.4550,0.1141,0.3920,0.4531,73.3008,185.5012,36.3610,32.589,0.8301,0.53645
Bulgarian-Coptic,0,0,5.3114,4.96825,340959.1270,1428400.8589,40.5696,25.3631,-0.3642,0.6162
Bulgarian-Hungarian,0.4626,0.2962,0.2188,0.3244,45.4715,0.6469,34.7134,23.7188,0.8714,0.7652
Bulgarian-Shona,0.4524,0.00095,0.4097,0.5062,45.4903,42.52665,35.8418,29.9005,0.8282,0.5740
Bulgarian-Cebuano,0.46265,0.0028,0.3971,0.3655,0.9899,63.4263,32.8909,28.4744,0.8672,0.6485
Bulgarian-Ewe,0.11435,0.00095,1.0140,0.6518,785.1659,57.3873,38.7595,31.4848,0.5272,0.6197
Bulgarian-Norwegian,0.4627,0.2729,0.3630,0.3057,4.7930,16.1852,31.80055,29.5942,0.8916,0.6763
Bulgarian-Vietnamese-tok,0.4621,0.2098,0.4890,0.37295,0.4877,3.0254,32.2546,24.4329,0.8583,0.7603
Bulgarian-Wolaytta,0.0515,0,2.0889,2.4993,956.7682,4885.10835,35.5944,33.8685,0.49575,0.5046
Bulgarian-Kannada,0.4599,0,0.4003,2.2960,3.36925,184529.5895,33.55785,35.0450,0.8675,0.6139
Bulgarian-Dinka,0.08395,0,0.7588,0.3808,996.5484,382.49675,34.8523,32.0473,0.4839,0.5727
Bulgarian-Indonesian,0.4503,0.1678,1.4294,1.5131,4.7908,1371.2338,32.6642,30.3399,0.8575,0.6395
Bulgarian-English,0.4625,0.1298,0.5283,0.3373,82.6321,511.6201,36.7454,32.2257,0.8668,0.4475
Bulgarian-Myanmar,0.4470,0,0.4640,0.7942,106.9547,567.9987,35.4697,32.7704,0.8270,0.6625
Bulgarian-Jakalteko,0.0726,0,1.6652,1.2008,1045.7084,6005.0033,36.9662,33.0753,0.4627,0.58775
Bulgarian-Slovene,0.4624,0.34675,0.4287,0.3503,7.5991,1.5799,33.3424,23.2221,0.8823,0.7703
Bulgarian-Greek,0.4556,0.1932,0.2674,0.5732,100.6339,3.9115,36.6333,23.1470,0.8280,0.7506
Bulgarian-Chinantec,0.05735,0,1.13565,1.1855,1363.8316,2843.0633,39.4149,34.1677,0.5057,0.5866
Bulgarian-Icelandic,0.46265,0.292,0.3520,0.4046,26.4388,2.5556,30.6355,24.1119,0.8854,0.7692
Bulgarian-Polish,0.4624,0.2527,0.3417,0.2582,0.5952,14.1038,32.3297,30.1685,0.88685,0.6651
Bulgarian-Romani,0.1520,0.00095,1.0494,0.930,626.5877,358.7655,42.0796,27.5328,0.5392,0.6367
Bulgarian-Maori,0.4603,0,0.2007,0.51835,30.78045,63.7636,34.8691,29.3706,0.8533,0.61165
Bulgarian-Cabecar,0.1530,0.0074,1.07775,0.5045,920.2176,91.9136,40.4623,28.8276,0.5550,0.6309
Bulgarian-Mam,0.06795,0,0.8659,0.6020,1011.7062,985.1359,37.4357,30.1328,0.43965,0.6023
Bulgarian-Latvian,0.4554,0.32235,0.4603,0.3564,18.3881,1.8399,31.1768,23.4931,0.8798,0.7739
Bulgarian-Chinese,0.4598,0.16145,0.2879,0.32065,363.3822,2.6276,40.6875,24.4965,0.82315,0.7436
Bulgarian-Japanese-tok,0.4585,0.15475,0.1998,0.3409,62.6859,14.0744,36.4182,26.9929,0.8544,0.6961
Bulgarian-Albanian,0.4649,0.2353,0.4205,0.33495,0.1455,76.0353,32.7427,32.3269,0.8892,0.6036
Bulgarian-Basque,0.4309,0.03065,0.4920,0.6165,159.1779,3.3642,36.8095,25.1315,0.78935,0.6933
Bulgarian-Esperanto,0.4637,0.315,0.4323,0.3463,0.62905,2.0933,32.5401,23.4371,0.8957,0.7745
Bulgarian-Gujarati,0.4537,0,0.8460,1.5180,15.9141,37804.0006,32.6823,36.84365,0.8550,0.5889
Bulgarian-Serbian,0.4627,0.3187,0.4765,0.25955,4.5399,1.0009,33.4654,25.7967,0.88205,0.7318
Bulgarian-Vietnamese,0.4621,0.22275,0.5050,0.3970,1.06475,1.8374,31.91405,24.3161,0.8636,0.7620
Bulgarian-German,0.4625,0.23365,0.3886,0.2854,1.2979,39.6119,33.0397,31.4706,0.8839,0.6257
Bulgarian-Telugu,0.4396,0.02965,0.4924,0.5740,26.6768,15.2640,34.2417,25.6016,0.8271,0.6955
Bulgarian-Creole,0.45865,0.00095,0.3112,0.5744,24.7900,54.6731,35.4735,29.1974,0.8463,0.6016
Bulgarian-Quichua,0.10395,0.0037,1.2887,1.1601,697.9614,2540.2591,40.2235,30.7664,0.46155,0.6153
Bulgarian-Achuar,0.0644,0.00095,2.7408,2.7360,911.0620,7476.2706,37.9467,30.8027,0.4580,0.5851
Bulgarian-Malagasy,0.45915,0.2248,0.3934,0.4537,26.1972,1.3329,35.6480,24.75015,0.8548,0.7500
Bulgarian-Camsa,0.09015,0.00095,9.3702,9.76765,66931.9280,183315.7777,40.6877,36.0844,0.5282,0.4492
Bulgarian-Swedish,0.4624,0.243,0.4821,0.3023,6.1637,15.03705,31.7479,30.3667,0.88545,0.6564
Bulgarian-Aukan,0.0536,0,1.3019,1.2268,857.1262,1983.4961,38.7831,29.1418,0.4941,0.5874
Bulgarian-Japanese,0.4614,0.24625,0.19245,0.35245,21.0528,4.1358,35.0480,25.3016,0.8691,0.7265
Bulgarian-Spanish,0.4632,0.322,0.4409,0.2454,4.6423,1.1425,34.0612,27.0540,0.8914,0.7272
Bulgarian-Shuar,0.0224,0,1.77145,1.6727,848.8962,947.7180,35.6314,30.7524,0.3929,0.5927
Bulgarian-Dutch,0.4135,0.1736,3.3211,3.0374,12.9538,7238.7925,31.0918,25.1873,0.8212,0.6816
Bulgarian-Slovak,0.46315,0.36025,0.3148,0.2814,4.5089,0.9179,31.8814,23.3357,0.8923,0.7799
Bulgarian-Amuzgo,0.08725,0,0.8587,0.6767,1209.8919,271.4362,38.9213,35.4536,0.4459,0.5595
Bulgarian-Swahili,0.4623,0.1037,0.3050,0.4010,6.9785,324.9250,31.7889,33.0038,0.8722,0.4749
Bulgarian-Chinese-tok,0.4594,0.16145,0.2878,0.32055,363.3822,2.6333,40.6875,24.4965,0.82315,0.7436
Bulgarian-Danish,0.4634,0.3193,0.2886,0.1930,1.6098,1.1310,33.0107,23.8887,0.8870,0.7431
Bulgarian-Amharic,0.4512,0.02255,2.8671,3.0547,32.8133,8635.7018,34.2426,33.3723,0.8441,0.4583
Bulgarian-Somali,0.4576,0.0028,0.4253,1.0053,23.9372,4287.1862,34.5446,29.39625,0.8442,0.2658
Bulgarian-Croatian,0.46215,0.32215,0.5021,0.28555,3.308,0.8936,31.3620,25.8188,0.8838,0.7198
Bulgarian-Italian,0.4612,0.33095,0.3844,0.2400,4.0733,1.31895,33.4167,23.5638,0.8841,0.7483
Bulgarian-Akawaio,0.0417,0.00095,0.9060,0.6858,1221.2260,123.8511,36.9513,29.3287,0.4577,0.6076
Bulgarian-Czech,0.4620,0.2428,0.4611,0.29375,20.6295,17.5398,34.4642,30.2167,0.8762,0.6547
Bulgarian-Tachelhit,0.0197,0.00095,0.6028,0.46825,803.6397,125.2007,41.3141,30.0125,0.4412,0.6076
Bulgarian-Romanian,0.4622,0.3015,0.3679,0.1993,28.2435,1.0772,30.7073,24.3265,0.8931,0.7416
Bulgarian-Lithuanian,0.4634,0.33805,0.2300,0.3119,15.6222,1.7810,31.1309,24.3195,0.8867,0.7731
Bulgarian-Wolof,0.184,0.00095,0.6081,0.5304,568.4411,422.86325,41.4950,30.4543,0.6257,0.5447
Bulgarian-Zulu,0.45665,0.00185,0.4945,0.7001,8.7792,132.7639,34.3006,32.4038,0.8466,0.5257
Bulgarian-Thai-tok,0.4393,0.12205,0.4541,0.3439,13.9127,3.3487,33.6102,24.8127,0.8394,0.75295
Bulgarian-Malayalam,0.45045,0.08025,1.3717,1.6796,15.9882,6488.4050,33.8765,32.7109,0.8460,0.5844
Bulgarian-Hebrew,0.4593,0.2255,0.5368,0.4349,94.1512,1.4325,35.7382,23.4679,0.8465,0.7520
Bulgarian-Kabyle,0.07355,0.02175,0.6266,0.5741,896.87795,26.86735,35.5883,26.4708,0.4647,0.68645
Bulgarian-French,0.4625,0.30605,0.3896,0.3388,1.7852,1.01535,33.0555,27.2844,0.89045,0.7140
Bulgarian-Afrikaans,0.4631,0.2572,0.1710,0.2889,0.9270,1.6316,32.4004,23.8204,0.8944,0.7543
Latin-Arabic,0.9670,0.1114,0.3493,0.4752,96.7586,1.5546,36.7356,24.5469,1.2790,0.8334
Latin-Finnish,0.95385,0.1330,0.3238,0.5733,2.2016,1.9731,32.61325,25.4848,1.2516,0.84975
Latin-Ukranian,0.9710,0.1340,0.34135,0.350,1.52455,1.3248,32.26705,24.8910,1.26545,0.8508
Latin-Uspanteco,0.1714,0,0.7516,0.4330,733.73315,157.9733,36.0485,36.4936,0.5470,0.6415
Latin-Ojibwa,0.0090,0.00115,1.8874,1.7203,15096.4405,60223.7235,41.6764,36.9337,0.1869,0.6712
Latin-Aguaruna,0.1701,0.00225,0.7509,0.7355,699.0345,56.8632,38.1653,33.3534,0.53915,0.6383
Latin-Nepali,0.9211,0.0030,1.4732,1.5378,9.42325,3576.5758,33.2865,34.7193,1.1627,0.6446
Latin-Marathi,0.9306,0.0270,1.3252,1.2031,18.2997,1874.6592,32.6657,25.6153,1.1849,0.7911
Latin-Lukpa,0.1239,0.00095,0.9237,1.0110,1252.5181,473.4809,39.5704,38.7745,0.6097,0.4597
Latin-Turkish,0.92855,0.04875,4.333,3.8879,13.21485,17847.4899,32.59015,32.4557,1.1938,0.62775
Latin-Farsi,0.9355,0.03655,0.6726,0.6995,13.5997,1226.7103,31.5482,34.6001,1.2292,0.4967
Latin-Paite,0.1872,0.00115,0.6777,0.7868,794.2933,50.2680,36.5128,32.7210,0.5545,0.6372
Latin-Hindi,0.9380,0.0400,0.5398,0.7036,35.5807,457.3373,30.8088,34.5781,1.2179,0.5879
Latin-Cherokee,0,0.00095,2.1086,1.5529,12146.8860,34871.0763,41.28565,40.7628,-0.13245,0.6485
Latin-K'iche'-SIL,0.1747,0,0.7004,0.49795,780.3700,145.58765,37.24605,34.0846,0.5865,0.6540
Latin-Uma,0.2262,0.00185,2.5232,2.2370,691.5469,5661.6312,40.8337,30.7006,0.6507,0.6568
Latin-Russian,0.9734,0.0957,0.2212,0.6720,10.4657,20.2609,31.5574,32.5148,1.2691,0.67505
Latin-Syriac,0,0,5.8670,8.5116,1484931.3209,1182607.2803,31.6958,24.0751,0.0227,0.6012
Latin-Xhosa,0.94615,0,0.4236,1.0119,42.98475,116.3922,35.8419,35.2307,1.2142,0.5479
Latin-English-WEB,0.9728,0.0871,0.3232,0.6597,21.4992,96.1821,35.1870,34.5069,1.3323,0.6010
Latin-K'iche',0,0,1.5411,1.3315,792099.7284,886733.4293,1.9399,1.9282,0.5738,0.0814
Latin-Thai,0.9400,0.0653,0.3555,0.6186,4.96185,3.3913,31.5082,29.1529,1.1887,0.7439
Latin-Campa,0.0705,0,2.4880,2.2986,847.26775,6885.7824,36.2448,32.3671,0.4169,0.6416
Latin-Q'eqchi',0.1683,0,0.5895,0.5308,785.9566,150.6804,38.3845,32.1639,0.5675,0.6692
Latin-Tagalog,0.9723,0.0325,0.2802,0.3772,0.3545,27.0532,32.9880,27.8838,1.2630,0.7826
Latin-Barasana,0.1277,0,3.7268,3.8477,930.0901,13441.4442,36.2227,41.3453,0.5251,0.3808
Latin-Nahuatl,0.19795,0,1.2930,1.51035,583.22955,4155.5523,41.2439,33.8114,0.6390,0.6585
Latin-Portuguese,0.9746,0.1103,0.2294,0.6308,5.8373,6.2664,32.1672,31.6201,1.2811,0.7173
Latin-Zarma,0.2294,0.0021,0.6511,0.8339,599.9536,86.6370,41.3792,33.4618,0.6761,0.5605
Latin-Korean,0.9531,0.0325,0.3342,0.64515,45.5439,162.9354,36.0386,34.5541,1.2165,0.5711
Latin-Coptic,0,0,5.3114,4.96825,338972.1709,1426753.1683,40.1600,26.5440,-0.31825,0.7008
Latin-Hungarian,0.9642,0.1070,0.2598,0.4200,24.6268,2.2323,34.4337,24.7475,1.27395,0.8411
Latin-Shona,0.9415,0,0.35325,0.9090,24.8852,33.1394,35.5470,31.5446,1.2052,0.6267
Latin-Cebuano,0.9621,0.00095,0.3593,0.5592,2.2767,49.5320,32.6344,29.9636,1.2312,0.7154
Latin-Ewe,0.2231,0.00115,0.9790,0.51315,688.5461,45.4751,38.3849,33.31105,0.6675,0.6596
Latin-Norwegian,0.9645,0.0973,0.2985,0.7397,15.8663,9.4830,31.5634,31.1963,1.2597,0.7159
Latin-Vietnamese-tok,0.9570,0.0582,0.5062,0.4083,2.417,1.1643,32.0077,25.5252,1.2041,0.8270
Latin-Wolaytta,0.1173,0,2.0540,2.4999,849.5648,4863.2177,35.2869,35.9890,0.5695,0.5329
Latin-Kannada,0.9644,0,0.35725,2.2966,0.4761,183939.2075,33.3001,37.3329,1.2490,0.6988
Latin-Dinka,0.1656,0,0.73365,0.7795,886.6945,382.2347,34.5464,33.94535,0.5741,0.6154
Latin-Indonesian,0.9387,0.0504,1.4238,1.5713,16.1519,1373.2019,32.4100,32.0229,1.1795,0.67935
Latin-English,0.9743,0.0491,0.3037,0.6522,53.2629,468.4397,36.4234,34.1526,1.3256,0.4536
Latin-Myanmar,0.9354,0.00115,0.3734,0.7835,73.1036,524.0338,35.1893,34.7605,1.2070,0.76745
Latin-Jakalteko,0.1502,0,1.6303,1.1900,933.7491,5989.5013,36.6289,35.0965,0.4914,0.6397
Latin-Slovene,0.9707,0.1353,0.3040,0.4266,1.2592,2.4101,33.0861,24.2105,1.2845,0.8421
Latin-Greek,0.9581,0.0729,0.4281,0.1945,67.94945,2.15395,36.3157,24.1239,1.2251,0.8367
Latin-Chinantec,0.0900,0,1.1008,1.1747,1235.86965,2817.4822,39.0419,36.3326,0.5583,0.6417
Latin-Icelandic,0.9698,0.1166,0.3116,0.3445,47.8665,1.3674,30.4134,25.1760,1.2425,0.8435
Latin-Polish,0.9729,0.0959,0.2582,0.59605,5.8564,8.3371,32.0792,31.8404,1.2661,0.7065
Latin-Romani,0.2920,0.0032,1.0605,1.1015,540.5859,361.8873,41.6423,28.9250,0.7056,0.6986
Latin-Maori,0.96655,0,0.4014,0.7824,13.9239,50.3903,34.5857,30.9570,1.2302,0.6821
Latin-Cabecar,0.2888,0.0069,1.0764,0.7073,816.6071,74.86575,40.07435,30.3596,0.6676,0.7046
Latin-Mam,0.1291,0,0.86025,0.6798,901.2272,972.0233,37.0911,31.8026,0.5017,0.6620
Latin-Latvian,0.99235,0.1436,0.4493,0.49375,37.1472,1.2288,30.9554,24.5073,1.2737,0.8600
Latin-Chinese,0.95435,0.0666,0.4162,0.4885,298.2281,1.9876,40.2875,25.6001,1.23615,0.8220
Latin-Japanese-tok,0.9592,0.0423,0.3602,0.7313,37.5834,10.1652,36.1062,28.3553,1.2269,0.75365
Latin-Albanian,0.9716,0.0906,0.3538,0.6009,3.5059,60.7309,32.4879,34.2544,1.2688,0.6319
Latin-Basque,0.9054,0.0209,0.46175,0.2539,117.4550,0.7896,36.48345,26.2875,1.1595,0.7742
Latin-Esperanto,0.9734,0.1283,0.2823,0.4511,3.84685,1.7626,32.2854,24.4465,1.2873,0.8507
Latin-Gujarati,0.91585,0,0.8111,1.5040,34.0549,37478.9706,32.4434,39.3553,1.1607,0.6636
Latin-Serbian,0.9716,0.1221,0.3240,0.5391,0.3189,1.2206,33.20365,27.0084,1.2794,0.7863
Latin-Vietnamese,0.9623,0.0591,0.5176,0.3975,7.5414,0.84595,31.6742,25.3999,1.2126,0.8278
Latin-German,0.9718,0.0826,0.36755,0.6101,0.8912,30.3413,32.7866,33.2948,1.2648,0.6566
Latin-Telugu,0.9122,0.0075,0.40275,0.4212,11.4702,10.4340,33.9713,26.80235,1.1921,0.7876
Latin-Creole,0.94635,0,0.44065,0.3908,10.2332,41.6187,35.1760,30.7643,1.1932,0.6522
Latin-Quichua,0.2156,0.00115,1.2538,1.14935,607.8416,2533.3066,39.78725,32.5110,0.5519,0.66225
Latin-Achuar,0.14455,0.00115,2.7282,2.7366,806.7060,7456.2055,37.5809,32.5493,0.5223,0.6386
Latin-Malagasy,0.9586,0.0583,0.33455,0.2908,10.8858,1.5980,35.3395,25.8741,1.2353,0.8172
Latin-Camsa,0.17285,0.00115,9.3702,9.76765,66536.1652,182878.4281,40.3213,38.5363,0.6091,0.5157
Latin-Swedish,0.9708,0.0847,0.3251,0.7196,17.8957,10.62665,31.5134,32.0643,1.2440,0.7005
Latin-Aukan,0.14055,0,1.2670,1.2160,755.12905,1971.5035,38.405,30.6903,0.6181,0.6469
Latin-Japanese,0.9614,0.06395,0.3394,0.6507,7.8046,2.9430,34.75465,26.4903,1.2340,0.7879
Latin-Spanish,0.97425,0.1421,0.3211,0.6789,0.5572,1.6585,33.7866,28.3926,1.2863,0.784
Latin-Shuar,0.0520,0,1.7751,1.7979,748.4051,940.28675,35.3038,32.4926,0.4389,0.64185
Latin-Dutch,0.8613,0.0345,3.3085,3.0380,28.6416,7236.4054,30.8707,26.3445,1.1151,0.7360
Latin-Slovak,0.9646,0.1336,0.2450,0.4541,15.01815,1.9477,31.63935,24.3374,1.2657,0.8498
Latin-Amuzgo,0.1964,0,0.8323,1.0056,1089.2694,244.6124,38.5676,37.7860,0.5708,0.59585
Latin-Swahili,0.9569,0.0346,0.4177,0.6650,19.59445,293.6694,31.5444,35.0206,1.2237,0.4802
Latin-Chinese-tok,0.95485,0.0666,0.41615,0.4886,298.2281,1.9834,40.2875,25.6001,1.23615,0.8220
Latin-Danish,0.9704,0.1231,0.2586,0.6025,0.96395,1.1234,32.7495,24.93515,1.2672,0.8053
Latin-Amharic,0.9364,0.0075,2.8391,3.0547,15.1823,8592.6734,33.9706,35.4332,1.2417,0.4868
Latin-Somali,0.9581,0,0.3532,0.9871,9.5053,4158.00855,34.2594,30.9836,1.2383,0.2341
Latin-Croatian,0.9713,0.1211,0.2644,0.6279,12.7771,1.7086,31.13025,27.0393,1.2707,0.7796
Latin-Italian,0.9706,0.1489,0.27485,0.5819,0.5398,3.6114,33.1521,24.5811,1.2761,0.8235
Latin-Akawaio,0.07265,0.00225,0.8763,0.5731,1099.8999,103.1331,36.6118,30.9092,0.5545,0.6617
Latin-Czech,0.9650,0.09495,0.2824,0.6497,7.5664,10.2159,34.1782,31.8870,1.2804,0.70075
Latin-Tachelhit,0.0329,0.00115,0.5438,0.4553,705.40725,104.1219,40.8747,31.6676,0.5852,0.6740
Latin-Romanian,0.9681,0.0963,0.3463,0.56305,50.4871,1.3776,30.4789,25.4042,1.2448,0.7992
Latin-Lithuanian,0.9738,0.1164,0.2945,0.4687,33.2748,1.7747,30.9062,25.4023,1.2578,0.8502
Latin-Wolof,0.3124,0.0021,0.6212,0.9253,486.6930,416.2580,41.0650,32.1763,0.8052,0.5961
Latin-Zulu,0.9533,0,0.3834,0.9575,1.6605,114.6181,34.02245,34.3501,1.2253,0.5598
Latin-Thai-tok,0.9295,0.0606,0.33245,0.3447,3.7014,1.1015,33.3461,25.9407,1.1719,0.8318
Latin-Malayalam,0.8130,0.0243,1.3368,1.7097,5.4622,6475.9476,33.6219,34.6914,1.1276,0.6089
Latin-Hebrew,0.964,0.0796,0.4939,0.3128,62.7741,0.5923,35.4430,24.4771,1.2327,0.8368
Latin-Kabyle,0.1099,0.0166,0.6207,0.3604,793.61945,18.4080,35.2553,27.7541,0.5858,0.7711
Latin-French,0.9716,0.1047,0.2526,0.6709,0.5765,1.1548,32.7936,28.6381,1.2844,0.7655
Latin-Afrikaans,0.9725,0.0964,0.3466,0.5098,6.6100,0.8458,32.1511,24.8626,1.27835,0.82095
Arabic-Finnish,0.9622,0.6956,0.3601,0.2843,125.00645,3.1642,37.1665,23.3964,1.2850,0.9726
Arabic-Ukranian,0.9893,0.6571,0.3359,0.3787,117.8161,0.4812,36.7216,22.8994,1.3027,0.9652
Arabic-Uspanteco,0.1433,0,0.7471,0.3924,321.9662,179.6140,41.7998,32.3163,0.6337,0.643
Arabic-Ojibwa,0.0109,0,1.8829,1.7033,13003.9932,60461.13625,49.4503,32.6737,0.2616,0.6536
Arabic-Aguaruna,0.1584,0,0.7378,0.6363,301.3472,69.6509,44.6542,29.8154,0.6209,0.6477
Arabic-Nepali,0.9477,0.0149,1.4687,1.5208,165.0430,3582.3742,38.0405,30.9120,1.19905,0.6492
Arabic-Marathi,0.9512,0.2327,1.27495,1.1424,196.8769,1867.9783,37.22905,23.5103,1.2227,0.8566
Arabic-Lukpa,0.1290,0,0.91115,0.8375,694.9650,510.2126,46.4756,34.0923,0.6864,0.4811
Arabic-Turkish,0.9446,0.4216,4.333,3.8879,179.8325,17907.19355,37.2127,29.1011,1.23535,0.74295
Arabic-Farsi,0.9586,0.2946,0.5662,0.516,181.9053,1249.7086,35.7936,30.8267,1.2890,0.5988
Arabic-Paite,0.1293,0.00095,0.6470,0.5228,353.20155,62.3253,42.3743,29.3417,0.6122,0.6519
Arabic-Hindi,0.9529,0.3144,0.42035,0.4838,248.8203,467.0421,34.8355,30.7962,1.2576,0.6860
Arabic-Cherokee,0,0.00095,2.1041,1.5413,10265.2084,35055.9783,48.9248,35.6257,0.134,0.6442
Arabic-K'iche'-SIL,0.1669,0.00115,0.6556,0.5152,350.0801,166.2478,43.3679,30.4067,0.6575,0.6457
Arabic-Uma,0.2205,0.00115,2.5187,2.2199,287.11795,5668.7144,48.2776,27.676,0.7085,0.6694
Arabic-Russian,0.9918,0.5705,0.2673,0.4567,169.5829,26.8631,35.8078,29.1331,1.3123,0.8086
Arabic-Syriac,0.0011,0,5.8670,8.5116,1463064.0106,1183643.1787,35.9520,22.2268,0.0998,0.5966
Arabic-Xhosa,0.9708,0,0.47985,0.8744,11.5714,133.9389,41.4227,31.38335,1.2545,0.5599
Arabic-English-WEB,0.99565,0.47615,0.3427,0.4373,27.9781,113.16605,40.5456,30.7429,1.3702,0.7207
Arabic-K'iche',0,0,1.5434,1.3400,782430.2867,887645.0703,1.9542,1.9153,0.5829,-0.0511
Arabic-Thai,0.9562,0.4351,0.3482,0.4513,143.6669,4.8565,35.7343,26.4342,1.2304,0.8506
Arabic-Campa,0.0531,0,2.4835,2.2816,393.9733,6899.5026,41.9745,29.0038,0.5134,0.6446
Arabic-Q'eqchi',0.1468,0,0.5681,0.5336,348.1757,171.2293,44.9966,28.8693,0.6239,0.67065
Arabic-Tagalog,0.9897,0.07705,0.2036,0.3738,90.7279,37.2867,37.6543,25.4119,1.2988,0.8174
Arabic-Barasana,0.0858,0,3.7268,3.8477,453.3912,13519.0858,41.9734,36.0855,0.5685,0.3814
Arabic-Nahuatl,0.2101,0.0021,1.28845,1.4934,221.7389,4164.0553,48.9368,30.2185,0.6908,0.6786
Arabic-Portuguese,0.9916,0.5883,0.2578,0.4486,148.2843,9.0428,36.5950,28.4258,1.3168,0.8476
Arabic-Zarma,0.2332,0.00115,0.6515,0.6467,234.6834,103.67395,49.0663,29.87895,0.7594,0.5817
Arabic-Korean,0.9686,0.2615,0.3871,0.4312,9.7547,183.1524,41.7045,30.7970,1.25605,0.6659
Arabic-Coptic,0,0,5.3114,4.96825,329406.2188,1428146.3301,47.3426,24.2914,-0.0661,0.6805
Arabic-Hungarian,0.9858,0.6422,0.2593,0.3263,24.0660,0.5805,39.5456,22.7731,1.3152,0.9633
Arabic-Shona,0.970,0,0.3150,0.6788,25.3714,42.2871,41.0158,28.3703,1.2472,0.6409
Arabic-Cebuano,0.9856,0.0066,0.4139,0.4532,126.2458,61.8062,37.1992,27.0940,1.2738,0.7329
Arabic-Ewe,0.1932,0,0.9746,0.6499,297.7287,56.76605,44.8957,29.7826,0.7079,0.6760
Arabic-Norwegian,0.9849,0.5527,0.3215,0.4784,190.0018,14.9772,35.80955,28.0411,1.2997,0.8413
Arabic-Vietnamese-tok,0.9779,0.4637,0.5245,0.3409,126.7834,2.3052,36.3873,23.4276,1.2491,0.9294
Arabic-Wolaytta,0.0842,0.00095,2.0494,2.4812,394.1129,4880.2602,40.6984,31.8978,0.6463,0.5413
Arabic-Kannada,0.9871,0,0.3954,2.2779,96.7412,184421.5504,38.0518,33.0115,1.2958,0.6740
Arabic-Dinka,0.1215,0,0.6791,0.5724,421.45305,383.2657,39.7369,30.3101,0.6374,0.6244
Arabic-Indonesian,0.9564,0.3955,1.3850,1.5161,190.40015,1371.23255,36.9098,28.6820,1.2236,0.7926
Arabic-English,0.9951,0.2736,0.3687,0.4437,7.5304,506.9946,42.2076,30.50635,1.3577,0.5573
Arabic-Myanmar,0.9555,0,0.41485,0.7777,1.9670,562.2035,40.5274,30.9725,1.2453,0.7270
Arabic-Jakalteko,0.1244,0,1.62575,1.173,455.17385,6001.1640,42.5050,31.2034,0.5879,0.6404
Arabic-Slovene,0.9913,0.7030,0.2649,0.3131,78.9536,0.9155,37.7755,22.3299,1.3251,0.9762
Arabic-Greek,0.9724,0.4504,0.3694,0.4398,3.2148,2.1084,42.0589,22.2356,1.2566,0.9263
Arabic-Chinantec,0.06705,0,1.0962,1.1577,681.2505,2840.1093,45.7700,32.1967,0.5741,0.6326
Arabic-Icelandic,0.9872,0.6321,0.2817,0.3439,279.5912,1.1848,34.3396,23.1366,1.2853,0.9681
Arabic-Polish,0.9921,0.5193,0.3001,0.4210,149.1096,13.4434,36.48385,28.5950,1.3065,0.8327
Arabic-Romani,0.2678,0.0021,0.99545,1.0053,187.9439,358.3064,49.4102,26.2517,0.7722,0.71195
Arabic-Maori,0.9876,0,0.2376,0.63025,38.2363,62.3199,39.7482,27.9012,1.2800,0.6686
Arabic-Cabecar,0.25115,0.0071,1.0694,0.48845,383.7010,89.8344,47.1863,27.4390,0.7279,0.69715
Arabic-Mam,0.1134,0,0.8215,0.5764,431.5987,982.57265,43.1261,28.5759,0.5923,0.6560
Arabic-Latvian,0.9688,0.7014,0.4961,0.3210,252.8543,0.9792,35.0188,22.5894,1.2762,0.9799
Arabic-Chinese,0.9729,0.4128,0.2361,0.3079,55.8404,2.6419,47.4965,23.5118,1.2657,0.90645
Arabic-Japanese-tok,0.9756,0.3149,0.3229,0.5324,14.0965,13.5452,41.7747,25.8649,1.2609,0.84275
Arabic-Albanian,0.9920,0.4937,0.4007,0.4274,134.9692,74.0697,37.0099,30.53155,1.3145,0.7554
Arabic-Basque,0.9079,0.0630,0.4940,0.4879,1.9884,2.2944,42.2936,24.0637,1.1634,0.8050
Arabic-Esperanto,0.99485,0.6726,0.30705,0.2992,137.5130,1.2040,36.7523,22.5389,1.3266,0.9755
Arabic-Gujarati,0.9372,0,0.8066,1.5031,242.4221,37693.1175,36.9288,34.4395,1.1957,0.6475
Arabic-Serbian,0.9948,0.6552,0.3804,0.3210,90.88695,0.8114,37.9345,24.6259,1.3205,0.91485
Arabic-Vietnamese,0.9793,0.4966,0.5398,0.3432,156.6318,1.2128,35.9538,23.3308,1.2573,0.93615
Arabic-German,0.9886,0.4998,0.4341,0.4330,113.5232,38.7710,37.3877,29.7676,1.3055,0.7820
Arabic-Telugu,0.9334,0.07355,0.4313,0.5993,42.0659,14.7919,38.9341,24.4958,1.2276,0.8177
